#1
double InputTDryBul(361, 2)
#time_in_s	TDryBul_raw
0.0	273.1499938964844
10.0	274.34716796875
20.0	282.6605529785156
30.0	282.6605529785156
40.0	279.0278625488281
50.0	273.1499938964844
60.0	267.27215576171875
70.0	263.6394348144531
80.0	263.6394348144531
90.0	267.27215576171875
100.0	273.1499938964844
110.0	279.0278625488281
120.0	282.6605529785156
130.0	282.6605529785156
140.0	279.0278625488281
150.0	273.1499938964844
160.0	267.27215576171875
170.0	263.6394348144531
180.0	263.6394348144531
190.0	267.27215576171875
200.0	273.1499938964844
210.0	279.0278625488281
220.0	282.6605529785156
230.0	282.6605529785156
240.0	279.0278625488281
250.0	273.1499938964844
260.0	267.27215576171875
270.0	263.6394348144531
280.0	263.6394348144531
290.0	267.27215576171875
300.0	273.1499938964844
310.0	279.0278625488281
320.0	282.6605529785156
330.0	282.6605529785156
340.0	279.0278625488281
350.0	273.1499938964844
360.0	267.27215576171875
370.0	263.6394348144531
380.0	263.6394348144531
390.0	267.27215576171875
400.0	273.1499938964844
410.0	279.0278625488281
420.0	282.6605529785156
430.0	282.6605529785156
440.0	279.0278625488281
450.0	273.1499938964844
460.0	267.27215576171875
470.0	263.6394348144531
480.0	263.6394348144531
490.0	267.27215576171875
500.0	273.1499938964844
510.0	279.0278625488281
520.0	282.6605529785156
530.0	282.6605529785156
540.0	279.0278625488281
550.0	273.1499938964844
560.0	267.27215576171875
570.0	263.6394348144531
580.0	263.6394348144531
590.0	267.27215576171875
600.0	273.1499938964844
610.0	279.0278625488281
620.0	282.6605529785156
630.0	282.6605529785156
640.0	279.0278625488281
650.0	273.1499938964844
660.0	267.27215576171875
670.0	263.6394348144531
680.0	263.6394348144531
690.0	267.27215576171875
700.0	273.1499938964844
710.0	279.0278625488281
720.0	282.6605529785156
730.0	282.6605529785156
740.0	279.0278625488281
750.0	273.1499938964844
760.0	267.27215576171875
770.0	263.6394348144531
780.0	263.6394348144531
790.0	267.27215576171875
800.0	273.1499938964844
810.0	279.0278625488281
820.0	282.6605529785156
830.0	282.6605529785156
840.0	279.0278625488281
850.0	273.1499938964844
860.0	267.27215576171875
870.0	263.6394348144531
880.0	263.6394348144531
890.0	267.27215576171875
900.0	273.1499938964844
910.0	279.0278625488281
920.0	282.6605529785156
930.0	282.6605529785156
940.0	279.0278625488281
950.0	273.1499938964844
960.0	267.27215576171875
970.0	263.6394348144531
980.0	263.6394348144531
990.0	267.27215576171875
1000.0	273.1499938964844
1010.0	279.0278625488281
1020.0	282.6605529785156
1030.0	282.6605529785156
1040.0	279.0278625488281
1050.0	273.1499938964844
1060.0	267.27215576171875
1070.0	263.6394348144531
1080.0	263.6394348144531
1090.0	264.3735046386719
1100.0	273.1499938964844
1110.0	279.0278625488281
1120.0	282.6605529785156
1130.0	282.6605529785156
1140.0	279.0278625488281
1150.0	273.1499938964844
1160.0	267.27215576171875
1170.0	263.6394348144531
1180.0	263.6394348144531
1190.0	267.27215576171875
1200.0	273.1499938964844
1210.0	279.0278625488281
1220.0	282.6605529785156
1230.0	282.6605529785156
1240.0	279.0278625488281
1250.0	273.1499938964844
1260.0	267.27215576171875
1270.0	263.6394348144531
1280.0	263.21575927734375
1290.0	267.27215576171875
1300.0	268.2496337890625
1310.0	273.9607849121094
1320.0	282.6605529785156
1330.0	282.6605529785156
1340.0	279.0278625488281
1350.0	273.1499938964844
1360.0	267.27215576171875
1370.0	263.6394348144531
1380.0	263.6394348144531
1390.0	267.27215576171875
1400.0	273.1499938964844
1410.0	279.0278625488281
1420.0	282.6605529785156
1430.0	282.6605529785156
1440.0	279.0278625488281
1450.0	273.1499938964844
1460.0	267.27215576171875
1470.0	263.6394348144531
1480.0	263.6394348144531
1490.0	267.27215576171875
1500.0	273.1499938964844
1510.0	279.0278625488281
1520.0	282.6605529785156
1530.0	282.6605529785156
1540.0	279.0278625488281
1550.0	273.1499938964844
1560.0	267.27215576171875
1570.0	263.6394348144531
1580.0	263.6394348144531
1590.0	267.27215576171875
1600.0	273.1499938964844
1610.0	279.0278625488281
1620.0	282.6605529785156
1630.0	282.6605529785156
1640.0	279.0278625488281
1650.0	273.1499938964844
1660.0	267.27215576171875
1670.0	263.6394348144531
1680.0	263.6394348144531
1690.0	267.27215576171875
1700.0	273.1499938964844
1710.0	279.0278625488281
1720.0	282.6605529785156
1730.0	282.6605529785156
1740.0	279.0278625488281
1750.0	273.1499938964844
1760.0	267.27215576171875
1770.0	263.6394348144531
1780.0	263.6394348144531
1790.0	267.27215576171875
1800.0	273.1499938964844
1810.0	279.0278625488281
1820.0	282.6605529785156
1830.0	282.6605529785156
1840.0	281.7690124511719
1850.0	273.1499938964844
1860.0	267.27215576171875
1870.0	263.6394348144531
1880.0	263.6394348144531
1890.0	267.27215576171875
1900.0	273.1499938964844
1910.0	279.0278625488281
1920.0	282.6605529785156
1930.0	282.6605529785156
1940.0	279.0278625488281
1950.0	273.1499938964844
1960.0	267.27215576171875
1970.0	263.6394348144531
1980.0	263.6394348144531
1990.0	267.27215576171875
2000.0	273.1499938964844
2010.0	279.0278625488281
2020.0	282.6605529785156
2030.0	282.6605529785156
2040.0	279.0278625488281
2050.0	273.1499938964844
2060.0	267.27215576171875
2070.0	264.119384765625
2080.0	263.15228271484375
2090.0	267.27215576171875
2100.0	268.4934997558594
2110.0	278.4030456542969
2120.0	282.6605529785156
2130.0	282.6605529785156
2140.0	279.0278625488281
2150.0	273.1499938964844
2160.0	267.27215576171875
2170.0	263.6394348144531
2180.0	263.6394348144531
2190.0	267.27215576171875
2200.0	273.1499938964844
2210.0	279.0278625488281
2220.0	282.6605529785156
2230.0	282.6605529785156
2240.0	279.0278625488281
2250.0	273.1499938964844
2260.0	267.27215576171875
2270.0	263.6394348144531
2280.0	263.6394348144531
2290.0	267.27215576171875
2300.0	273.1499938964844
2310.0	279.0278625488281
2320.0	282.6605529785156
2330.0	282.6605529785156
2340.0	279.0278625488281
2350.0	273.1499938964844
2360.0	267.27215576171875
2370.0	264.119384765625
2380.0	263.6394348144531
2390.0	267.27215576171875
2400.0	273.1499938964844
2410.0	279.0278625488281
2420.0	282.6605529785156
2430.0	282.6605529785156
2440.0	279.0278625488281
2450.0	273.1499938964844
2460.0	267.27215576171875
2470.0	263.6394348144531
2480.0	263.6394348144531
